Gene stable ID	Gene name
ENSG00000198804	MT-CO1
ENSG00000277923	MBOAT7
ENSG00000277733	MBOAT7
ENSG00000277025	MBOAT7
ENSG00000278322	MBOAT7
ENSG00000274734	ARHGAP11B
ENSG00000277626	WNT3
ENSG00000278232	CRHR1
ENSG00000274194	MBOAT7
ENSG00000278519	MBOAT7
ENSG00000132688	NES
ENSG00000132692	BCAN
ENSG00000165699	TSC1
ENSG00000139352	ASCL1
ENSG00000030110	BAK1
ENSG00000163848	ZNF148
ENSG00000064309	CDON
ENSG00000227761	BAG6
ENSG00000278823	BMERB1
ENSG00000186297	GABRA5
ENSG00000276935	MBOAT7
ENSG00000158352	SHROOM4
ENSG00000164329	TENT2
ENSG00000163064	EN1
ENSG00000132164	SLC6A11
ENSG00000159842	ABR
ENSG00000148798	INA
ENSG00000075213	SEMA3A
ENSG00000155966	AFF2
ENSG00000132541	RIDA
ENSG00000182704	TSKU
ENSG00000198728	LDB1
ENSG00000105810	CDK6
ENSG00000135049	AGTPBP1
ENSG00000092445	TYRO3
ENSG00000165462	PHOX2A
ENSG00000164434	FABP7
ENSG00000189184	PCDH18
ENSG00000100994	PYGB
ENSG00000115904	SOS1
ENSG00000169375	SIN3A
ENSG00000151012	SLC7A11
ENSG00000186575	NF2
ENSG00000221866	PLXNA4
ENSG00000262473	GART
ENSG00000083307	GRHL2
ENSG00000132467	UTP3
ENSG00000162105	SHANK2
ENSG00000277564	RBFOX2
ENSG00000140379	BCL2A1
ENSG00000069667	RORA
ENSG00000075239	ACAT1
ENSG00000040531	CTNS
ENSG00000184845	DRD1
ENSG00000197121	PGAP1
ENSG00000070193	FGF10
ENSG00000115317	HTRA2
ENSG00000104290	FZD3
ENSG00000172409	CLP1
ENSG00000145147	SLIT2
ENSG00000142798	HSPG2
ENSG00000189056	RELN
ENSG00000169032	MAP2K1
ENSG00000120686	UFM1
ENSG00000182168	UNC5C
ENSG00000274429	DLG5
ENSG00000134308	YWHAQ
ENSG00000148704	VAX1
ENSG00000112981	NME5
ENSG00000188219	POTEE
ENSG00000096093	EFHC1
ENSG00000107859	PITX3
ENSG00000123983	ACSL3
ENSG00000172264	MACROD2
ENSG00000164853	UNCX
ENSG00000138083	SIX3
ENSG00000004848	ARX
ENSG00000188620	HMX3
ENSG00000188816	HMX2
ENSG00000100968	NFATC4
ENSG00000060762	MPC1
ENSG00000070831	CDC42
ENSG00000198945	L3MBTL3
ENSG00000275911	NDE1
ENSG00000253729	PRKDC
ENSG00000115839	RAB3GAP1
ENSG00000138795	LEF1
ENSG00000146648	EGFR
ENSG00000172943	PHF8
ENSG00000102078	SLC25A14
ENSG00000095713	CRTAC1
ENSG00000007168	PAFAH1B1
ENSG00000107954	NEURL1
ENSG00000180871	CXCR2
ENSG00000011600	TYROBP
ENSG00000005001	PRSS22
ENSG00000157933	SKI
ENSG00000170370	EMX2
ENSG00000174804	FZD4
ENSG00000134438	RAX
ENSG00000176410	DNAJC30
ENSG00000126351	THRA
ENSG00000162552	WNT4
ENSG00000149311	ATM
ENSG00000105887	MTPN
ENSG00000162928	PEX13
ENSG00000108953	YWHAE
ENSG00000154723	ATP5PF
ENSG00000129682	FGF13
ENSG00000164828	SUN1
ENSG00000169297	NR0B1
ENSG00000118257	NRP2
ENSG00000198561	CTNND1
ENSG00000171791	BCL2
ENSG00000138363	ATIC
ENSG00000167193	CRK
ENSG00000133216	EPHB2
ENSG00000067560	RHOA
ENSG00000100095	SEZ6L
ENSG00000105894	PTN
ENSG00000147133	TAF1
ENSG00000100503	NIN
ENSG00000183023	SLC8A1
ENSG00000166171	DPCD
ENSG00000234549	ATAT1
ENSG00000135919	SERPINE2
ENSG00000004487	KDM1A
ENSG00000080293	SCTR
ENSG00000102678	FGF9
ENSG00000176697	BDNF
ENSG00000188486	H2AFX
ENSG00000127561	SYNGR3
ENSG00000142599	RERE
ENSG00000188338	SLC38A3
ENSG00000137285	TUBB2B
ENSG00000169059	VCX3A
ENSG00000142319	SLC6A3
ENSG00000039139	DNAH5
ENSG00000125845	BMP2
ENSG00000180176	TH
