Gene stable ID	Gene name
ENSG00000137764	MAP2K5
ENSG00000278224	PRICKLE4
ENSG00000276886	GREM1
ENSG00000115170	ACVR1
ENSG00000082014	SMARCD3
ENSG00000165699	TSC1
ENSG00000116604	MEF2D
ENSG00000139352	ASCL1
ENSG00000017427	IGF1
ENSG00000005884	ITGA3
ENSG00000276289	KCNE1B
ENSG00000276781	CHGA
ENSG00000130595	TNNT3
ENSG00000115041	KCNIP3
ENSG00000179218	CALR
ENSG00000100490	CDKL1
ENSG00000110693	SOX6
ENSG00000075213	SEMA3A
ENSG00000015479	MATR3
ENSG00000132646	PCNA
ENSG00000280987	MATR3
ENSG00000198796	ALPK2
ENSG00000134755	DSC2
ENSG00000115904	SOS1
ENSG00000120149	MSX2
ENSG00000179284	DAND5
ENSG00000171105	INSR
ENSG00000096696	DSP
ENSG00000184719	RNLS
ENSG00000109083	IFT20
ENSG00000113721	PDGFRB
ENSG00000120913	PDLIM2
ENSG00000083307	GRHL2
ENSG00000104375	STK3
ENSG00000130700	GATA5
ENSG00000101752	MIB1
ENSG00000151748	SAV1
ENSG00000141448	GATA6
ENSG00000142661	MYOM3
ENSG00000142168	SOD1
ENSG00000186439	TRDN
ENSG00000140416	TPM1
ENSG00000008710	PKD1
ENSG00000046604	DSG2
ENSG00000145147	SLIT2
ENSG00000159251	ACTC1
ENSG00000169032	MAP2K1
ENSG00000103197	TSC2
ENSG00000013016	EHD3
ENSG00000061492	WNT8A
ENSG00000145349	CAMK2D
ENSG00000106330	MOSPD3
ENSG00000113070	HBEGF
ENSG00000164458	TBXT
ENSG00000125848	FLRT3
ENSG00000198523	PLN
ENSG00000276480	MYH11
ENSG00000101052	IFT52
ENSG00000162344	FGF19
ENSG00000100968	NFATC4
ENSG00000099337	KCNK6
ENSG00000253729	PRKDC
ENSG00000078579	FGF20
ENSG00000105711	SCN1B
ENSG00000152049	KCNE4
ENSG00000169946	ZFPM2
ENSG00000133454	MYO18B
ENSG00000254901	BORCS8
ENSG00000150893	FREM2
ENSG00000166257	SCN3B
ENSG00000089356	FXYD3
ENSG00000096433	ITPR3
ENSG00000156925	ZIC3
ENSG00000185070	FLRT2
ENSG00000126351	THRA
ENSG00000068305	MEF2A
ENSG00000149311	ATM
ENSG00000109255	NMU
ENSG00000179057	IGSF22
ENSG00000138136	LBX1
ENSG00000108953	YWHAE
ENSG00000154723	ATP5PF
ENSG00000182132	KCNIP1
ENSG00000233276	GPX1
ENSG00000151090	THRB
ENSG00000102057	KCND1
ENSG00000187486	KCNJ11
ENSG00000181072	CHRM2
ENSG00000132170	PPARG
ENSG00000129682	FGF13
ENSG00000137275	RIPK1
ENSG00000116030	SUMO1
ENSG00000118257	NRP2
ENSG00000072310	SREBF1
ENSG00000167323	STIM1
ENSG00000215425	DDX39B
ENSG00000105894	PTN
ENSG00000183023	SLC8A1
ENSG00000175387	SMAD2
ENSG00000136574	GATA4
ENSG00000159197	KCNE2
ENSG00000115593	SMYD1
ENSG00000103148	NPRL3
ENSG00000175262	C1orf127
ENSG00000184347	SLIT3
ENSG00000174705	SH3PXD2B
ENSG00000169641	LUZP1
ENSG00000102678	FGF9
ENSG00000116016	EPAS1
ENSG00000127445	PIN1
ENSG00000166923	GREM1
ENSG00000221946	FXYD7
ENSG00000266964	FXYD1
ENSG00000282076	KCNQ1
ENSG00000135547	HEY2
ENSG00000173511	VEGFB
ENSG00000229496	DDX39B
ENSG00000118523	CCN2
ENSG00000078114	NEBL
ENSG00000114353	GNAI2
ENSG00000178234	GALNT11
ENSG00000039139	DNAH5
ENSG00000125845	BMP2
ENSG00000132155	RAF1
ENSG00000180176	TH
ENSG00000231991	ANXA2P2
ENSG00000084774	CAD
ENSG00000077092	RARB
ENSG00000138802	SEC24B
ENSG00000180509	KCNE1
ENSG00000134057	CCNB1
ENSG00000102683	SGCG
ENSG00000161904	LEMD2
ENSG00000113430	IRX4
ENSG00000117298	ECE1
ENSG00000204217	BMPR2
ENSG00000114854	TNNC1
ENSG00000034152	MAP2K3
ENSG00000168214	RBPJ
ENSG00000016082	ISL1
ENSG00000225859	DDX39B
ENSG00000146350	TBC1D32
ENSG00000143867	OSR1
ENSG00000080815	PSEN1
ENSG00000187535	IFT140
ENSG00000186642	PDE2A
ENSG00000274137	MYOM2
ENSG00000101405	OXT
ENSG00000171316	CHD7
ENSG00000112033	PPARD
ENSG00000150995	ITPR1
ENSG00000129244	ATP1B2
ENSG00000107882	SUFU
ENSG00000107831	FGF8
ENSG00000163703	CRELD1
ENSG00000184185	KCNJ12
ENSG00000157087	ATP2B2
ENSG00000128918	ALDH1A2
ENSG00000152093	CFC1B
ENSG00000152661	GJA1
ENSG00000164190	NIPBL
ENSG00000170776	AKAP13
ENSG00000156574	NODAL
ENSG00000149269	PAK1
ENSG00000129170	CSRP3
ENSG00000136698	CFC1
ENSG00000074370	ATP2A3
ENSG00000198363	ASPH
ENSG00000006831	ADIPOR2
ENSG00000163794	UCN
ENSG00000101115	SALL4
ENSG00000148926	ADM
ENSG00000149295	DRD2
ENSG00000101665	SMAD7
ENSG00000148834	GSTO1
ENSG00000143933	CALM2
ENSG00000136280	CCM2
ENSG00000121966	CXCR4
ENSG00000196839	ADA
ENSG00000135541	AHI1
ENSG00000198947	DMD
ENSG00000137731	FXYD2
ENSG00000006128	TAC1
ENSG00000137726	FXYD6
ENSG00000185774	KCNIP4
ENSG00000106571	GLI3
ENSG00000101400	SNTA1
ENSG00000028137	TNFRSF1B
ENSG00000036448	MYOM2
ENSG00000145362	ANK2
ENSG00000185920	PTCH1
ENSG00000019549	SNAI2
ENSG00000170312	CDK1
ENSG00000113083	LOX
ENSG00000124249	KCNK15
ENSG00000112715	VEGFA
ENSG00000164741	DLC1
ENSG00000154485	MMP21
ENSG00000166068	SPRED1
ENSG00000117318	ID3
ENSG00000141646	SMAD4
ENSG00000120049	KCNIP2
ENSG00000125850	OVOL2
ENSG00000088832	FKBP1A
ENSG00000197603	CPLANE1
ENSG00000163513	TGFBR2
ENSG00000184937	WT1
ENSG00000173641	HSPB7
ENSG00000124766	SOX4
ENSG00000150201	FXYD4
ENSG00000237889	DDX39B
ENSG00000100030	MAPK1
ENSG00000134318	ROCK2
ENSG00000241186	TDGF1
ENSG00000141510	TP53
ENSG00000151067	CACNA1C
ENSG00000083720	OXCT1
ENSG00000107485	GATA3
ENSG00000176788	BASP1
ENSG00000256061	DNAAF4
ENSG00000274474	YWHAE
ENSG00000122679	RAMP3
ENSG00000110195	FOLR1
ENSG00000124205	EDN3
ENSG00000096872	IFT74
ENSG00000171307	ZDHHC16
ENSG00000185053	SGCZ
ENSG00000196923	PDLIM7
ENSG00000084093	REST
ENSG00000049759	NEDD4L
ENSG00000136383	ALPK3
ENSG00000140538	NTRK3
ENSG00000138002	IFT172
ENSG00000130234	ACE2
ENSG00000198825	INPP5F
ENSG00000086991	NOX4
ENSG00000112414	ADGRG6
ENSG00000134571	MYBPC3
ENSG00000163217	BMP10
ENSG00000159899	NPR2
ENSG00000157240	FZD1
ENSG00000114251	WNT5A
ENSG00000117713	ARID1A
ENSG00000196689	TRPV1
ENSG00000055208	TAB2
ENSG00000118762	PKD2
ENSG00000154734	ADAMTS1
ENSG00000164056	SPRY1
ENSG00000162496	DHRS3
ENSG00000134046	MBD2
ENSG00000127418	FGFRL1
ENSG00000100811	YY1
ENSG00000049323	LTBP1
ENSG00000213689	TREX1
ENSG00000108984	MAP2K6
ENSG00000067191	CACNB1
ENSG00000159167	STC1
ENSG00000139567	ACVRL1
ENSG00000123700	KCNJ2
ENSG00000120156	TEK
ENSG00000125398	SOX9
ENSG00000120008	WDR11
ENSG00000225073	DDX39B
ENSG00000169282	KCNAB1
ENSG00000152642	GPD1L
ENSG00000099139	PCSK5
ENSG00000130598	TNNI2
ENSG00000163092	XIRP2
ENSG00000183091	NEB
ENSG00000131759	RARA
ENSG00000203883	SOX18
ENSG00000147257	GPC3
ENSG00000071655	MBD3
ENSG00000183153	GJD3
ENSG00000166147	FBN1
ENSG00000127914	AKAP9
ENSG00000196218	RYR1
ENSG00000113196	HAND1
ENSG00000164776	PHKG1
ENSG00000163501	IHH
ENSG00000168135	KCNJ4
ENSG00000196159	FAT4
ENSG00000169379	ARL13B
ENSG00000166333	ILK
ENSG00000109685	NSD2
ENSG00000105989	WNT2
ENSG00000092148	HECTD1
ENSG00000119782	FKBP1B
ENSG00000177606	JUN
ENSG00000121068	TBX2
ENSG00000151062	CACNA2D4
ENSG00000157388	CACNA1D
ENSG00000113448	PDE4D
ENSG00000157766	ACAN
ENSG00000275555	DLL1
ENSG00000128917	DLL4
ENSG00000198563	DDX39B
ENSG00000162692	VCAM1
ENSG00000048740	CELF2
ENSG00000007402	CACNA2D2
ENSG00000138735	PDE5A
ENSG00000130558	OLFM1
ENSG00000196924	FLNA
ENSG00000281758	KCNIP4
ENSG00000095209	TMEM38B
ENSG00000067842	ATP2B3
ENSG00000133816	MICAL2
ENSG00000120457	KCNJ5
ENSG00000106799	TGFBR1
ENSG00000125686	MED1
ENSG00000105851	PIK3CG
ENSG00000185386	MAPK11
ENSG00000170989	S1PR1
ENSG00000134716	CYP2J2
ENSG00000180340	FZD2
ENSG00000104313	EYA1
ENSG00000197702	PARVA
ENSG00000168779	SHOX2
ENSG00000118160	SLC8A2
ENSG00000154639	CXADR
ENSG00000100604	CHGA
ENSG00000198646	NCOA6
ENSG00000090020	SLC9A1
ENSG00000105048	TNNT1
ENSG00000115966	ATF2
ENSG00000123473	STIL
ENSG00000115234	SNX17
ENSG00000105329	TGFB1
ENSG00000129991	TNNI3
ENSG00000100211	CBY1
ENSG00000107758	PPP3CB
ENSG00000054598	FOXC1
ENSG00000235439	DDX39B
ENSG00000122367	LDB3
ENSG00000104881	PPP1R13L
ENSG00000182963	GJC1
ENSG00000084073	ZMPSTE24
ENSG00000018625	ATP1A2
ENSG00000129484	PARP2
ENSG00000069849	ATP1B3
ENSG00000107438	PDLIM1
ENSG00000167535	CACNB3
ENSG00000152192	POU4F1
ENSG00000163913	IFT122
ENSG00000132681	ATP1A4
ENSG00000142871	CCN1
ENSG00000143318	CASQ1
ENSG00000102125	TAZ
ENSG00000134817	APLNR
ENSG00000070495	JMJD6
ENSG00000167131	CCDC103
ENSG00000113658	SMAD5
ENSG00000198838	RYR3
ENSG00000139174	PRICKLE1
ENSG00000142178	SIK1
ENSG00000114126	TFDP2
ENSG00000138814	PPP3CA
ENSG00000107779	BMPR1A
ENSG00000176076	KCNE5
ENSG00000076555	ACACB
ENSG00000121769	FABP3
ENSG00000198668	CALM1
ENSG00000060718	COL11A1
ENSG00000197122	SRC
ENSG00000139445	FOXN4
ENSG00000196411	EPHB4
ENSG00000105974	CAV1
ENSG00000204104	TRAF3IP1
ENSG00000141736	ERBB2
ENSG00000166317	SYNPO2L
ENSG00000130939	UBE4B
ENSG00000198793	MTOR
ENSG00000099942	CRKL
ENSG00000162738	VANGL2
ENSG00000113971	NPHP3
ENSG00000169398	PTK2
ENSG00000170961	HAS2
ENSG00000166862	CACNG2
ENSG00000176887	SOX11
ENSG00000137868	STRA6
ENSG00000197616	MYH6
ENSG00000139219	COL2A1
ENSG00000214513	NOTO
ENSG00000100815	TRIP11
ENSG00000049192	ADAMTS6
ENSG00000074219	TEAD2
ENSG00000053918	KCNQ1
ENSG00000006125	AP2B1
ENSG00000139574	NPFF
ENSG00000092054	MYH7
ENSG00000137693	YAP1
ENSG00000163638	ADAMTS9
ENSG00000081479	LRP2
ENSG00000125968	ID1
ENSG00000102001	CACNA1F
ENSG00000103494	RPGRIP1L
ENSG00000048052	HDAC9
ENSG00000166341	DCHS1
ENSG00000106991	ENG
ENSG00000175084	DES
ENSG00000143013	LMO4
ENSG00000157856	DRC1
ENSG00000159640	ACE
ENSG00000068024	HDAC4
ENSG00000106462	EZH2
ENSG00000140463	BBS4
ENSG00000163093	BBS5
ENSG00000114446	IFT57
ENSG00000196296	ATP2A1
ENSG00000057663	ATG5
ENSG00000122085	MTERF4
ENSG00000057657	PRDM1
ENSG00000186834	HEXIM1
ENSG00000164128	NPY1R
ENSG00000138686	BBS7
ENSG00000164129	NPY5R
ENSG00000116741	RGS2
ENSG00000185650	ZFP36L1
ENSG00000166292	TMEM100
ENSG00000176842	IRX5
ENSG00000081870	HSPB11
ENSG00000124006	OBSL1
ENSG00000122691	TWIST1
ENSG00000078401	EDN1
ENSG00000164683	HEY1
ENSG00000144935	TRPC1
ENSG00000160973	FOXH1
ENSG00000113569	NUP155
ENSG00000198336	MYL4
ENSG00000148408	CACNA1B
ENSG00000131435	PDLIM4
ENSG00000166847	DCTN5
ENSG00000151320	AKAP6
ENSG00000049883	PTCD2
ENSG00000155962	CLIC2
ENSG00000282752	CTDP1
ENSG00000108175	ZMIZ1
ENSG00000159792	PSKH1
ENSG00000183691	NOG
ENSG00000131196	NFATC1
ENSG00000163874	ZC3H12A
ENSG00000248329	APELA
ENSG00000173991	TCAP
ENSG00000160014	CALM3
ENSG00000101306	MYLK2
ENSG00000180772	AGTR2
ENSG00000182324	KCNJ14
ENSG00000166225	FRS2
ENSG00000174437	ATP2A2
ENSG00000198125	MB
ENSG00000164532	TBX20
ENSG00000127129	EDN2
ENSG00000065361	ERBB3
ENSG00000088256	GNA11
ENSG00000178127	NDUFV2
ENSG00000126778	SIX1
ENSG00000171303	KCNK3
ENSG00000108773	KAT2A
ENSG00000112062	MAPK14
ENSG00000164983	TMEM65
ENSG00000115738	ID2
ENSG00000182389	CACNB4
ENSG00000079805	DNM2
ENSG00000100311	PDGFB
ENSG00000020426	MNAT1
ENSG00000225366	TDGF1P3
ENSG00000198929	NOS1AP
ENSG00000163132	MSX1
ENSG00000138207	RBP4
ENSG00000184588	PDE4B
ENSG00000114739	ACVR2B
ENSG00000055118	KCNH2
ENSG00000060069	CTDP1
ENSG00000113140	SPARC
ENSG00000117152	RGS4
ENSG00000086598	TMED2
ENSG00000101109	STK4
ENSG00000181744	DIPK2A
ENSG00000145244	CORIN
ENSG00000182533	CAV3
ENSG00000198812	LRRC10
ENSG00000069702	TGFBR3
ENSG00000180914	OXTR
ENSG00000101331	CCM2L
ENSG00000160602	NEK8
ENSG00000178342	KCNG2
ENSG00000111245	MYL2
ENSG00000171388	APLN
ENSG00000169836	TACR3
ENSG00000138622	HCN4
ENSG00000077463	SIRT6
ENSG00000175206	NPPA
ENSG00000004399	PLXND1
ENSG00000141644	MBD1
ENSG00000157445	CACNA2D3
ENSG00000164690	SHH
ENSG00000065559	MAP2K4
ENSG00000189079	ARID2
ENSG00000115310	RTN4
ENSG00000164867	NOS3
ENSG00000213145	CRIP1
ENSG00000081248	CACNA1S
ENSG00000140795	MYLK3
ENSG00000087258	GNAO1
ENSG00000100324	TAB1
ENSG00000171862	PTEN
ENSG00000086967	MYBPC2
ENSG00000168014	C2CD3
ENSG00000109471	IL2
ENSG00000103034	NDRG4
ENSG00000006116	CACNG3
ENSG00000135744	AGT
ENSG00000011143	MKS1
ENSG00000127125	PPCS
ENSG00000160678	S100A1
ENSG00000132510	KDM6B
ENSG00000169418	NPR1
ENSG00000075142	SRI
ENSG00000164305	CASP3
ENSG00000121879	PIK3CA
ENSG00000105605	CACNG7
ENSG00000142408	CACNG8
ENSG00000130433	CACNG6
ENSG00000138685	FGF2
ENSG00000165995	CACNB2
ENSG00000118194	TNNT2
ENSG00000203867	RBM20
ENSG00000105771	SMG9
ENSG00000149256	TENM4
ENSG00000108010	GLRX3
ENSG00000150593	PDCD4
ENSG00000230624	DDX39B
ENSG00000023287	RB1CC1
ENSG00000141052	MYOCD
ENSG00000070018	LRP6
ENSG00000175538	KCNE3
ENSG00000159173	TNNI1
ENSG00000183145	RIPPLY3
ENSG00000074047	GLI2
ENSG00000078900	TP73
ENSG00000109472	CPE
ENSG00000135750	KCNK1
ENSG00000147869	CER1
ENSG00000143178	TBX19
ENSG00000147050	KDM6A
ENSG00000138495	COX17
ENSG00000213366	GSTM2
ENSG00000121577	POPDC2
ENSG00000137834	SMAD6
ENSG00000143153	ATP1B1
ENSG00000284862	CCDC39
ENSG00000145075	CCDC39
ENSG00000143995	MEIS1
ENSG00000139318	DUSP6
ENSG00000179295	PTPN11
ENSG00000150093	ITGB1
ENSG00000145730	PAM
ENSG00000048342	CC2D2A
ENSG00000070961	ATP2B1
ENSG00000136717	BIN1
ENSG00000138193	PLCE1
ENSG00000163884	KLF15
ENSG00000157168	NRG1
ENSG00000112175	BMP5
ENSG00000187266	EPOR
ENSG00000164107	HAND2
ENSG00000108961	RANGRF
ENSG00000187240	DYNC2H1
ENSG00000197893	NRAP
ENSG00000049540	ELN
ENSG00000066468	FGFR2
ENSG00000104936	DMPK
ENSG00000143028	SYPL2
ENSG00000160808	MYL3
ENSG00000184408	KCND2
ENSG00000105697	HAMP
ENSG00000168036	CTNNB1
ENSG00000111276	CDKN1B
ENSG00000154553	PDLIM3
ENSG00000186951	PPARA
ENSG00000107984	DKK1
ENSG00000148400	NOTCH1
ENSG00000075223	SEMA3C
ENSG00000139687	RB1
ENSG00000100678	SLC8A3
ENSG00000101346	POFUT1
ENSG00000100644	HIF1A
ENSG00000141519	CCDC40
ENSG00000171298	GAA
ENSG00000108509	CAMTA2
ENSG00000163909	HEYL
ENSG00000077522	ACTN2
ENSG00000158286	RNF207
ENSG00000100714	MTHFD1
ENSG00000124762	CDKN1A
ENSG00000101605	MYOM1
ENSG00000168710	AHCYL1
ENSG00000160460	SPTBN4
ENSG00000260428	SCX
ENSG00000166949	SMAD3
ENSG00000198626	RYR2
ENSG00000183337	BCOR
ENSG00000129654	FOXJ1
ENSG00000087470	DNM1L
ENSG00000112164	GLP1R
ENSG00000164093	PITX2
ENSG00000145423	SFRP2
ENSG00000105409	ATP1A3
ENSG00000133026	MYH10
ENSG00000106688	SLC1A1
ENSG00000171456	ASXL1
ENSG00000148677	ANKRD1
ENSG00000162989	KCNJ3
ENSG00000122870	BICC1
ENSG00000183873	SCN5A
ENSG00000164530	PI16
ENSG00000138080	EMILIN1
ENSG00000133392	MYH11
ENSG00000177098	SCN4B
ENSG00000162775	RBM15
ENSG00000134250	NOTCH2
ENSG00000057294	PKP2
ENSG00000064989	CALCRL
ENSG00000163485	ADORA1
ENSG00000149575	SCN2B
