Gene stable ID	Gene name
ENSG00000124641	MED20
ENSG00000157404	KIT
ENSG00000171310	CHST11
ENSG00000143319	ISG20L2
ENSG00000112559	MDFI
ENSG00000132692	BCAN
ENSG00000132702	HAPLN2
ENSG00000116604	MEF2D
ENSG00000156853	ZNF689
ENSG00000017427	IGF1
ENSG00000064309	CDON
ENSG00000242252	BGLAP
ENSG00000273707	CDKN1C
ENSG00000276726	DNAJA3
ENSG00000263141	PAXBP1
ENSG00000106483	SFRP4
ENSG00000120549	KIAA1217
ENSG00000177291	GJD4
ENSG00000188763	FZD9
ENSG00000130595	TNNT3
ENSG00000277753	MUC20
ENSG00000120659	TNFSF11
ENSG00000177706	FAM20C
ENSG00000163064	EN1
ENSG00000110693	SOX6
ENSG00000121039	RDH10
ENSG00000197321	SVIL
ENSG00000138801	PAPSS1
ENSG00000253293	HOXA10
ENSG00000172046	USP19
ENSG00000078399	HOXA9
ENSG00000244624	KRTAP20-1
ENSG00000206105	KRTAP20-4
ENSG00000184032	KRTAP20-2
ENSG00000206104	KRTAP20-3
ENSG00000165458	INPPL1
ENSG00000087460	GNAS
ENSG00000174738	NR1D2
ENSG00000120149	MSX2
ENSG00000104331	IMPAD1
ENSG00000211747	TRBV20-1
ENSG00000109083	IFT20
ENSG00000148660	CAMK2G
ENSG00000005073	HOXA11
ENSG00000083307	GRHL2
ENSG00000206290	COL11A2
ENSG00000153162	BMP6
ENSG00000276583	MUC20
ENSG00000138696	BMPR1B
ENSG00000112116	IL17F
ENSG00000185960	SHOX
ENSG00000184675	AMER1
ENSG00000142661	MYOM3
ENSG00000165887	ANKRD2
ENSG00000008710	PKD1
ENSG00000197467	COL13A1
ENSG00000159251	ACTC1
ENSG00000026508	CD44
ENSG00000113722	CDX1
ENSG00000139780	METTL21C
ENSG00000230060	MPIG6B
ENSG00000142677	IL22RA1
ENSG00000100068	LRP5L
ENSG00000164920	OSR2
ENSG00000148704	VAX1
ENSG00000164087	POC1A
ENSG00000141127	PRPSAP2
ENSG00000106031	HOXA13
ENSG00000164458	TBXT
ENSG00000121989	ACVR2A
ENSG00000282147	FAM20C
ENSG00000169071	ROR2
ENSG00000164853	UNCX
ENSG00000156427	FGF18
ENSG00000206379	FLOT1
ENSG00000170577	SIX2
ENSG00000165671	NSD1
ENSG00000276480	MYH11
ENSG00000162585	FAAP20
ENSG00000075388	FGF4
ENSG00000213341	CHUK
ENSG00000125772	GPCPD1
ENSG00000170345	FOS
ENSG00000078579	FGF20
ENSG00000275181	GPR20
ENSG00000157017	GHRL
ENSG00000282476	IGHV3-20
ENSG00000183688	RFLNB
ENSG00000007168	PAFAH1B1
ENSG00000107954	NEURL1
ENSG00000119699	TGFB3
ENSG00000157399	ARSE
ENSG00000072840	EVC
ENSG00000197993	KEL
ENSG00000110066	KMT5B
ENSG00000155760	FZD7
ENSG00000137288	UQCC2
ENSG00000157933	SKI
ENSG00000232280	FLOT1
ENSG00000067225	PKM
ENSG00000126351	THRA
ENSG00000157796	WDR19
ENSG00000105887	MTPN
ENSG00000179057	IGSF22
ENSG00000278693	ASB2
ENSG00000138379	MSTN
ENSG00000003402	CFLAR
ENSG00000136110	CNMD
ENSG00000274843	MUC20
ENSG00000233276	GPX1
ENSG00000239857	GET4
ENSG00000196459	TRAPPC2
ENSG00000167244	IGF2
ENSG00000108557	RAI1
ENSG00000171791	BCL2
ENSG00000184343	SRPK3
ENSG00000147439	BIN3
ENSG00000172007	RAB33B
ENSG00000125875	TBC1D20
ENSG00000204335	SP5
ENSG00000125879	OTOR
ENSG00000241553	ARPC4
ENSG00000067560	RHOA
ENSG00000100628	ASB2
ENSG00000162337	LRP5
ENSG00000105894	PTN
ENSG00000197599	CCDC154
ENSG00000250317	SMIM20
ENSG00000157916	RER1
ENSG00000206013	IFITM5
ENSG00000175387	SMAD2
ENSG00000262024	TCF20
ENSG00000067177	PHKA1
ENSG00000115593	SMYD1
ENSG00000174705	SH3PXD2B
ENSG00000102678	FGF9
ENSG00000281429	FAM20C
ENSG00000275501	MUC20
ENSG00000106511	MEOX2
ENSG00000164188	RANBP3L
ENSG00000118523	CCN2
ENSG00000248905	FMN1
ENSG00000172071	EIF2AK3
ENSG00000156103	MMP16
ENSG00000125845	BMP2
ENSG00000231991	ANXA2P2
ENSG00000077092	RARB
ENSG00000148516	ZEB1
ENSG00000161904	LEMD2
ENSG00000182158	CREB3L2
ENSG00000204217	BMPR2
ENSG00000197921	HES5
ENSG00000168899	VAMP5
ENSG00000162878	PKDCC
ENSG00000114854	TNNC1
ENSG00000125878	TCF15
