to,from,cor
ENSG00000107404.13,ENSG00000157916.14,0.358554488989272
ENSG00000107404.13,ENSG00000162367.7,-0.0818746470920384
ENSG00000107404.13,ENSG00000156150.6,-0.257969685183791
ENSG00000107404.13,ENSG00000134253.5,0.536984754376059
ENSG00000107404.13,ENSG00000242252.1,0.511010728402033
ENSG00000107404.13,ENSG00000185630.14,0.453416149068323
ENSG00000107404.13,ENSG00000116132.7,0.358554488989272
ENSG00000107404.13,ENSG00000162891.6,-0.41864421379908
ENSG00000107404.13,ENSG00000136630.11,0.177865612648221
ENSG00000107404.13,ENSG00000082258.8,0.513269339356296
ENSG00000107404.13,ENSG00000204335.3,-0.0906020559262164
ENSG00000107404.13,ENSG00000128710.5,-0.188125643737931
ENSG00000107404.13,ENSG00000204262.7,0.189158667419537
ENSG00000107404.13,ENSG00000115009.7,0.0940275604367861
ENSG00000107404.13,ENSG00000144681.6,0.33380402347759
ENSG00000107404.13,ENSG00000068001.9,-0.392433653303218
ENSG00000107404.13,ENSG00000136068.10,0.347261434217956
ENSG00000107404.13,ENSG00000114861.14,0.134952004517222
ENSG00000107404.13,ENSG00000163659.8,-0.548277809147374
ENSG00000107404.13,ENSG00000145192.8,-0.0725888985217268
ENSG00000107404.13,ENSG00000114503.6,-0.143986448334274
ENSG00000107404.13,ENSG00000250317.4,0.599096555618295
ENSG00000107404.13,ENSG00000152595.12,0.230891080011789
ENSG00000107404.13,ENSG00000164161.5,0.45819216352137
ENSG00000107404.13,ENSG00000132356.7,0.221908526256352
ENSG00000107404.13,ENSG00000156427.7,0.351412485462752
ENSG00000107404.13,ENSG00000153162.8,0.346327738888532
ENSG00000107404.13,ENSG00000204248.6,0.570863918690006
ENSG00000107404.13,ENSG00000137288.5,0.705251270468662
ENSG00000107404.13,ENSG00000124749.12,0.482778091473744
ENSG00000107404.13,ENSG00000171217.5,0.273594316109764
ENSG00000107404.13,ENSG00000005073.5,0.329192546583851
ENSG00000107404.13,ENSG00000106483.7,0.418407679277244
ENSG00000107404.13,ENSG00000174428.12,0.347261434217956
ENSG00000107404.13,ENSG00000006652.9,0.204968944099379
ENSG00000107404.13,ENSG00000174697.4,-0.0671936758893281
ENSG00000107404.13,ENSG00000168077.9,0.278452425675892
ENSG00000107404.13,ENSG00000147509.9,0.306104702236252
ENSG00000107404.13,ENSG00000154188.5,0.389045736871824
ENSG00000107404.13,ENSG00000164976.8,0.241106719367589
ENSG00000107404.13,ENSG00000235387.1,0.296526416794814
ENSG00000107404.13,ENSG00000156345.13,0.237288173463595
ENSG00000107404.13,ENSG00000187764.7,0.358554488989272
ENSG00000107404.13,ENSG00000148308.13,0.383399209486166
ENSG00000107404.13,ENSG00000177291.3,0.130097986056322
ENSG00000107404.13,ENSG00000177791.11,0.599096555618295
ENSG00000107404.13,ENSG00000133794.13,-0.172219085262563
ENSG00000107404.13,ENSG00000152266.2,-0.0908848882842907
ENSG00000107404.13,ENSG00000052850.5,0.134463298296037
ENSG00000107404.13,ENSG00000197847.8,0.378931320478185
ENSG00000107404.13,ENSG00000110066.10,0.376623376623377
ENSG00000107404.13,ENSG00000137727.8,0.172832540074691
ENSG00000107404.13,ENSG00000043039.5,0.0822939225642627
ENSG00000107404.13,ENSG00000111186.8,0.275199290998729
ENSG00000107404.13,ENSG00000197905.4,0.230942970073405
ENSG00000107404.13,ENSG00000111679.12,-0.0435274444383108
ENSG00000107404.13,ENSG00000111424.6,-0.440993788819876
ENSG00000107404.13,ENSG00000037965.4,0.521174477696217
ENSG00000107404.13,ENSG00000198353.6,0.258830271012874
ENSG00000107404.13,ENSG00000166886.8,-0.0581592320722755
ENSG00000107404.13,ENSG00000100625.8,0.223037831733484
ENSG00000107404.13,ENSG00000248905.4,-0.584580650252633
ENSG00000107404.13,ENSG00000167196.9,0.202710333145116
ENSG00000107404.13,ENSG00000154237.8,0.0254093732354602
ENSG00000107404.13,ENSG00000005513.9,0.303954850770033
ENSG00000107404.13,ENSG00000103489.7,-0.138339920948617
ENSG00000107404.13,ENSG00000186153.12,0.150240051176039
