to,from,cor
ENSG00000078900.10,ENSG00000130939.14,0.237239213450653
ENSG00000078900.10,ENSG00000163874.8,0.235321384949165
ENSG00000078900.10,ENSG00000177606.5,0.0286239499582627
ENSG00000078900.10,ENSG00000134716.5,0.360248482496103
ENSG00000078900.10,ENSG00000184588.13,0.189332198089328
ENSG00000078900.10,ENSG00000162775.10,0.453391121798793
ENSG00000078900.10,ENSG00000171385.5,0.205036261866807
ENSG00000078900.10,ENSG00000118729.10,0.240147307034887
ENSG00000078900.10,ENSG00000134250.13,0.271064933562004
ENSG00000078900.10,ENSG00000018625.10,0.245351263975095
ENSG00000078900.10,ENSG00000081248.6,-0.0433215769547151
ENSG00000078900.10,ENSG00000143499.9,0.419224648800863
ENSG00000078900.10,ENSG00000243709.1,0.429885763741437
ENSG00000078900.10,ENSG00000136717.10,0.46173339598449
ENSG00000078900.10,ENSG00000182389.14,0.357799374478284
ENSG00000078900.10,ENSG00000115966.12,0.601868295379086
ENSG00000078900.10,ENSG00000150995.13,0.310247668170628
ENSG00000078900.10,ENSG00000152642.6,0.163312413388288
ENSG00000078900.10,ENSG00000169836.4,0.110781027556454
ENSG00000078900.10,ENSG00000151617.11,0.242385159138551
ENSG00000078900.10,ENSG00000154556.13,0.323257560521148
ENSG00000078900.10,ENSG00000113430.5,0.182249909643743
ENSG00000078900.10,ENSG00000134057.10,0.457887020498867
ENSG00000078900.10,ENSG00000113070.6,0.178312053980652
ENSG00000078900.10,ENSG00000170624.9,0.227920114908306
ENSG00000078900.10,ENSG00000170214.3,0.140779449226257
ENSG00000078900.10,ENSG00000137275.9,0.671616560400945
ENSG00000078900.10,ENSG00000112655.11,0.186285278605378
ENSG00000078900.10,ENSG00000057663.8,0.485957743681176
ENSG00000078900.10,ENSG00000198523.5,0.173873384825769
ENSG00000078900.10,ENSG00000186439.8,0.294023567121745
ENSG00000078900.10,ENSG00000135547.4,0.393051806542759
ENSG00000078900.10,ENSG00000136280.11,0.503138628410747
ENSG00000078900.10,ENSG00000122679.4,0.470039757746423
ENSG00000078900.10,ENSG00000075142.9,0.456723750281773
ENSG00000078900.10,ENSG00000127914.12,0.404531123322629
ENSG00000078900.10,ENSG00000106330.7,0.373642041968553
ENSG00000078900.10,ENSG00000184408.5,0.1264589943135
ENSG00000078900.10,ENSG00000164867.6,0.347746769651538
ENSG00000078900.10,ENSG00000136574.13,0.425500008640526
ENSG00000078900.10,ENSG00000185053.8,0.00371366873479604
ENSG00000078900.10,ENSG00000169398.15,0.497896233132241
ENSG00000078900.10,ENSG00000130558.14,0.43988741900463
ENSG00000078900.10,ENSG00000107758.11,0.368409539855304
ENSG00000078900.10,ENSG00000138193.10,0.356317992847174
ENSG00000078900.10,ENSG00000108010.7,0.307056917734091
ENSG00000078900.10,ENSG00000148926.5,0.224841551328393
ENSG00000078900.10,ENSG00000133816.9,0.154588132635587
ENSG00000078900.10,ENSG00000134817.9,0.368256482298239
ENSG00000078900.10,ENSG00000162344.3,-0.227043178101606
ENSG00000078900.10,ENSG00000137731.9,0.191624741739829
ENSG00000078900.10,ENSG00000166257.4,0.551363169087551
ENSG00000078900.10,ENSG00000006831.9,0.326777884333641
ENSG00000078900.10,ENSG00000151062.10,0.430540165809171
ENSG00000078900.10,ENSG00000134548.5,0.319737236708654
ENSG00000078900.10,ENSG00000121361.3,0.347899827208603
ENSG00000078900.10,ENSG00000087470.13,0.366878964284655
ENSG00000078900.10,ENSG00000139318.7,0.376980763050941
ENSG00000078900.10,ENSG00000135124.10,0.511518355711021
ENSG00000078900.10,ENSG00000092148.8,0.242137055276731
ENSG00000078900.10,ENSG00000166068.8,0.53723202529793
ENSG00000078900.10,ENSG00000137834.10,0.254534717398991
ENSG00000078900.10,ENSG00000136383.6,0.355399647504785
ENSG00000078900.10,ENSG00000188095.3,0.164030336993647
ENSG00000078900.10,ENSG00000068305.13,0.203413493339302
ENSG00000078900.10,ENSG00000166847.5,0.37942968396398
ENSG00000078900.10,ENSG00000103241.5,0.246077623658042
ENSG00000078900.10,ENSG00000074370.13,0.184893528934444
ENSG00000078900.10,ENSG00000108509.16,0.566159903583203
ENSG00000078900.10,ENSG00000004975.7,0.395347669898733
ENSG00000078900.10,ENSG00000129244.4,0.261269249909848
ENSG00000078900.10,ENSG00000141736.9,0.192699464344756
ENSG00000078900.10,ENSG00000173801.12,0.253769429613666
ENSG00000078900.10,ENSG00000131477.6,0.202035975325717
ENSG00000078900.10,ENSG00000167131.12,-0.168861520089199
ENSG00000078900.10,ENSG00000006283.13,0.104791917045794
ENSG00000078900.10,ENSG00000075429.4,0.0638181303119764
ENSG00000078900.10,ENSG00000108946.10,0.327543172118966
ENSG00000078900.10,ENSG00000070495.10,0.344532560953174
ENSG00000078900.10,ENSG00000198081.6,0.519670107531027
ENSG00000078900.10,ENSG00000178127.8,0.299533639176082
ENSG00000078900.10,ENSG00000134755.10,0.233718889638159
ENSG00000078900.10,ENSG00000101665.4,0.204041311734568
ENSG00000078900.10,ENSG00000049759.12,0.198668709070289
ENSG00000078900.10,ENSG00000077463.10,0.614066918944529
ENSG00000078900.10,ENSG00000127445.9,0.448152527086137
ENSG00000078900.10,ENSG00000254901.3,0.47554982980076
ENSG00000078900.10,ENSG00000266964.1,0.253157199385406
ENSG00000078900.10,ENSG00000221946.3,0.211014834436847
ENSG00000078900.10,ENSG00000104812.10,0.310094610613563
ENSG00000078900.10,ENSG00000142408.2,0.487399636823223
ENSG00000078900.10,ENSG00000154639.14,0.159179859347535
ENSG00000078900.10,ENSG00000154734.10,0.0916814766818975
ENSG00000078900.10,ENSG00000183145.4,0.0620846601635044
ENSG00000078900.10,ENSG00000142178.7,0.0411724828504682
ENSG00000078900.10,ENSG00000100030.10,0.350195690564577
ENSG00000078900.10,ENSG00000166862.6,0.00706417331765631
ENSG00000078900.10,ENSG00000225366.4,0.0971992425747073
ENSG00000078900.10,ENSG00000147257.9,0.0704064762498712
ENSG00000130939.14,ENSG00000163874.8,-0.115084828851903
ENSG00000130939.14,ENSG00000177606.5,-0.0278096112050063
ENSG00000130939.14,ENSG00000134716.5,0.333256934275378
ENSG00000130939.14,ENSG00000184588.13,0.135217723453018
ENSG00000130939.14,ENSG00000162775.10,0.799297122051582
ENSG00000130939.14,ENSG00000171385.5,0.881045154989376
ENSG00000130939.14,ENSG00000118729.10,0.918411000763942
ENSG00000130939.14,ENSG00000134250.13,0.168525592055004
ENSG00000130939.14,ENSG00000018625.10,0.875935828877005
ENSG00000130939.14,ENSG00000081248.6,0.192575936180824
ENSG00000130939.14,ENSG00000143499.9,0.707563025210084
